title,release_year,imdb_id,imdb_score
​​Kuch Bheege Alfaaz,2018,N/A_Not_Found,N/A_Not_Found
​Goli Soda 2,2018,tt8011288,7.0
​Maj Rati ​​Keteki,2017,tt8914956,7.7
​Mayurakshi,2017,tt7570242,7.1
​SAINT SEIYA: Knights of the Zodiac,2020,N/A_Not_Found,N/A_Not_Found
#Alive,2020,tt10620868,6.3
#AnneFrank - Parallel Stories,2019,N/A_Not_Found,N/A_Not_Found
#blackAF,2020,tt10311562,6.8
#cats_the_mewvie,2020,tt11642302,5.3
#FriendButMarried,2018,N/A_Not_Found,N/A_Not_Found
#FriendButMarried 2,2020,tt11640412,6.9
#realityhigh,2017,tt6119504,5.1
#Roxy,2018,tt5646082,4.9
#Rucker50,2016,tt6475636,5.2
#Selfie,2014,tt7630626,N/A
#Selfie 69,2016,tt4796634,6.0
(T)ERROR,2015,tt4370922,6.6
(Un)Well,2020,tt12759384,6.4
"¡Ay, mi madre!",2019,tt6213294,3.8
1 Chance 2 Dance,2014,tt2388856,4.8
1 Mile to You,2017,tt2184233,6.3
10 Days in Sun City,2017,tt10499474,5.4
10 jours en or,2012,tt1729630,5.9
"10,000 B.C.",2008,tt0443649,5.1
100 Days My Prince,2018,tt8199972,7.8
100 Days Of Solitude,2018,N/A_Not_Found,N/A_Not_Found
100 Humans,2020,tt11823088,5.8
100 Meters,2016,tt5089786,7.5
100 Things to do Before High School,2014,tt3904078,6.3
100 Years: One Woman's Fight for Justice,2016,N/A_Not_Found,N/A_Not_Found
100% Halal,2020,tt11799742,6.4
100% Hotter,2017,N/A_Not_Found,N/A_Not_Found
1000 Rupee Note,2014,N/A_Not_Found,N/A_Not_Found
12 ROUND GUN,2017,tt3396208,4.8
12 Years Promise,2014,tt5476252,7.2
122,2019,tt7867670,5.6
13 Cameras,2015,tt4392454,5.2
13 Reasons Why,2020,N/A_Not_Found,N/A_Not_Found
13 Reasons Why: Beyond the Reasons,2019,N/A_Not_Found,N/A_Not_Found
13 Sins,2014,tt2059171,6.3
13TH,2016,tt5895028,8.2
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,2017,tt6491068,7.1
14 Blades,2010,tt1442571,6.3
14 Cameras,2018,tt7476438,4.7
14 Minutes from Earth,2016,tt5626716,5.7
15 August,2019,tt9817300,5.8
15-Aug,2019,N/A_Not_Found,N/A_Not_Found
16 Blocks,2006,tt0450232,6.6
17 Again,2009,tt0974661,6.4
18 Presents,2020,tt10816484,6.9
187,1997,tt0118532,5.2
1898: Our Last Men in the Philippines,2016,tt5698568,6.5
1920,2008,tt1301698,6.4
1922,2017,tt6214928,6.2
1983,2018,tt7371666,6.7
1994,2019,tt8736278,7.5
1BR,2019,tt7541106,5.8
1st Summoning,2018,tt8142044,3.4
2 Alone in Paris,2008,tt1077097,5.4
2 Hearts,2020,tt5616176,6.3
2 States,2014,tt2372678,6.9
2 Weeks in Lagos,2020,N/A_Not_Found,N/A_Not_Found
"2,215",2018,tt8891536,7.6
20 Feet From Stardom,2013,tt2396566,7.4
20 Minutes,2013,tt2971834,N/A
2012,2009,tt1190080,5.8
2015 Dream Concert,2015,tt6959400,6.2
2036 Origin Unknown,2018,tt4575328,4.3
20th Century Women,2016,tt4385888,7.3
21,2008,tt0478087,6.8
21 & Over,2013,tt1711425,5.8
21 Again,2019,tt9315008,5.7
21 Sarfarosh: Saragarhi 1897,2018,tt7446400,8.1
21 Thunder,2017,tt6145878,6.0
22 July,2018,tt7280898,6.8
22-Jul,2018,N/A_Not_Found,N/A_Not_Found
23:59,2011,tt2100376,4.6
2307: Winter's Dream,2016,tt4261326,3.7
24 Hours to Live,2017,tt5442456,5.8
25 Kille,2016,tt5743858,5.9
26 Years,2012,tt2551894,6.2
"27, el club de los malditos",2018,N/A_Not_Found,N/A_Not_Found
27: Gone Too Soon,2017,N/A_Not_Found,N/A_Not_Found
28 Days,2000,tt0191754,6.1
28 Moons,2016,N/A_Not_Found,N/A_Not_Found
3 Days to Kill,2014,tt2172934,6.2
3 Deewarein,2003,tt0338490,7.8
3 Generations,2015,tt4158624,6.0
3 Heroines,2016,N/A_Not_Found,N/A_Not_Found
3 Idiots,2009,tt1187043,8.4
3 Seconds Divorce,2018,tt7987516,7.3
3 Türken & ein Baby,2015,tt3598648,5.4
3%,2020,tt8366590,2.2
30 Days of Luxury,2016,tt7616358,2.3
30 Minutes or Less,2011,tt1622547,6.0
30 Rock,2012,tt2321151,8.4
300 Miles to Heaven,1989,tt0096740,7.1
3022,2019,tt9465600,4.5
365 Days,2020,tt10886166,3.3
37 Seconds,2020,N/A_Not_Found,N/A_Not_Found
3Below: Tales of Arcadia,2019,N/A_Not_Found,N/A_Not_Found
40 Sticks,2019,N/A_Not_Found,N/A_Not_Found
42 Grams,2017,tt4760186,7.0
44 Cats,2020,N/A_Not_Found,N/A_Not_Found
45 rpm,2019,tt8987918,7.2
46,2016,tt5606154,8.1
48 Christmas Wishes,2017,tt7422638,4.0
4L,2019,tt8242160,5.9
4th Man Out,2015,tt3978720,6.7
4th Republic,2019,tt10279102,6.5
5 Cowok Jagoan,2017,tt10681664,6.3
5 Flights Up,2014,tt2933544,6.2
5 Star Christmas,2018,N/A_Not_Found,N/A_Not_Found
5 to 7,2014,tt2486678,7.1
50 First Dates,2004,tt0343660,6.8
50/50,2011,tt1306980,7.6
50M2,2021,N/A_Not_Found,N/A_Not_Found
5CM,2012,tt3742922,N/A
5Gang,2019,tt11529348,2.0
6 Balloons,2018,tt6142496,5.9
6 Bullets,2012,tt1975249,6.0
6 Days,2017,tt4703048,6.2
6 Underground,2019,tt8106534,6.1
6 Years,2015,tt3799372,5.5
60 Days In,2019,tt11271956,6.1
6-5=2,2014,tt5162476,4.5
678,2009,tt2048941,N/A
68 Kill,2017,tt5189894,6.0
7 (Seven),2019,N/A_Not_Found,N/A_Not_Found
7 años,2016,N/A_Not_Found,N/A_Not_Found
7 Days Out,2018,tt9315990,6.7
7 Din Mohabbat In,2018,N/A_Not_Found,N/A_Not_Found
7 Khoon Maaf,2011,tt1629376,6.3
7 Yards: The Chris Norton Story,2021,tt12439210,7.8
7:19,2016,tt5979312,5.8
706,2019,tt9390026,5.3
72 Cutest Animals,2016,tt5815824,5.7
72 Dangerous Animals: Asia,2018,tt8728268,6.5
72 Dangerous Animals: Latin America,2017,tt7909708,6.5
72 Dangerous Places to Live,2016,tt5674272,6.2
'76,2016,tt2385126,5.5
7SEEDS,2020,N/A_Not_Found,N/A_Not_Found
'89,2017,tt7614404,7.7
9,2009,tt0472033,7.0
9 Months That Made You,2016,tt6949590,7.0
90 ML,2019,tt8268916,3.6
93 Days,2016,tt5305246,6.1
99 Songs,2021,N/A_Not_Found,N/A_Not_Found
99 Songs (Tamil),2021,N/A_Not_Found,N/A_Not_Found
99 Songs (Telugu),2021,N/A_Not_Found,N/A_Not_Found
9to5: The Story of a Movement,2021,N/A_Not_Found,N/A_Not_Found
A 2nd Chance,2011,tt2150139,4.7
A 3 Minute Hug,2019,tt9098586,6.5
A Babysitter's Guide to Monster Hunting,2020,tt4844150,5.4
A Bad Moms Christmas,2017,tt6359956,5.6
A Beautiful Life,2011,tt1934335,6.6
A Billion Colour Story,2016,tt6289320,8.1
A Boy Called Po,2016,tt1401621,6.4
A Boy Name Flora A,2017,N/A_Not_Found,N/A_Not_Found
A Bridge Too Far,1977,tt0075784,7.4
A California Christmas,2020,tt13055780,5.8
A Champion Heart,2018,tt4738912,6.1
A Chaster Marriage,2016,tt5985820,5.4
A Choo,2020,tt12689526,5.4
